Assessor;Sample;Replicate;Cherry.aroma;Apple.aroma;Lime.zest.aroma;Unfresh.aroma;Metallic.aroma;Cherry.flavour;Apple.flavour;Lime.zest.fl.;Sweet.taste;Sour.taste;After.taste;Astringency;Creamy;Fla;Fib
SB;FD_FLA1FIB1;2;1.5;5.85;7.65;2.85;4.2;3.6;12;5.55;4.05;7.05;6.75;1.95;6.9;FLA1;FIB1
SB;FD_FLA1FIB1;3;6.75;5.4;11.7;5.4;1.5;0.15;9.6;13.35;3.6;10.35;12.45;8.85;4.5;FLA1;FIB1
SB;FD_FLA1FIB2;1;8.25;9.9;8.85;6.6;3.9;6.45;8.4;9.3;3.9;7.5;12.3;3.75;11.4;FLA1;FIB2
SB;FD_FLA1FIB2;2;8.55;6.45;12.15;6.75;5.25;9.45;4.65;12.15;8.7;6.3;7.35;7.65;9.45;FLA1;FIB2
SB;FD_FLA1FIB2;3;10.5;6.45;2.85;6;4.35;10.95;4.2;0.15;7.05;6.45;0.45;4.35;11.55;FLA1;FIB2
SB;FD_FLA2FIB0;1;11.55;9.9;4.95;1.95;0;9.75;6.75;14.4;10.05;7.5;10.95;4.35;0;FLA2;FIB0
SB;FD_FLA2FIB0;2;0;0;7.05;1.2;1.95;11.25;9.3;11.1;7.2;7.2;7.35;9.15;0;FLA2;FIB0
SB;FD_FLA2FIB0;3;1.05;1.35;10.35;6.3;8.1;9;9;12.6;8.4;6;11.55;5.7;0;FLA2;FIB0
SB;FD_FLA2FIB1;1;3.9;3.15;12.3;0.15;3;7.65;3;10.5;10.65;7.35;9;4.2;6.15;FLA2;FIB1
SB;FD_FLA2FIB1;2;2.1;7.35;10.8;2.25;3.75;4.35;8.1;12.9;2.85;8.25;6.75;5.4;6.75;FLA2;FIB1
SB;FD_FLA2FIB1;3;0.3;7.8;12;0.75;0.75;7.95;10.35;13.65;4.05;7.2;8.55;3.9;2.4;FLA2;FIB1
SB;FD_FLA2FIB2;1;5.55;9.75;1.95;6.75;10.35;11.85;6.75;4.35;4.95;4.95;7.95;9;13.8;FLA2;FIB2
SB;FD_FLA2FIB2;2;2.7;10.05;10.95;0;1.65;8.85;6.6;7.65;6;8.1;14.4;10.65;9.45;FLA2;FIB2
SB;FD_FLA2FIB2;3;0;3.9;4.8;0;9.75;9.3;6.3;9.9;7.65;7.8;4.2;7.35;6.9;FLA2;FIB2
TB;FD_FLA0FIB0;1;6.9;3.45;0.6;1.35;1.2;9.9;3.15;1.2;6;1.95;0.75;8.4;1.95;FLA0;FIB0
TB;FD_FLA0FIB0;2;13.5;0.75;1.05;1.35;1.5;3.6;10.8;3;6;11.85;1.05;10.05;1.05;FLA0;FIB0
TB;FD_FLA0FIB0;3;1.05;10.5;1.65;7.65;1.5;12.3;2.4;0.75;11.55;1.8;3.75;10.65;0.9;FLA0;FIB0
TB;FD_FLA0FIB1;1;4.95;11.85;0.9;13.2;0.75;0.75;11.85;1.05;2.25;7.2;13.95;2.55;5.4;FLA0;FIB1
TB;FD_FLA0FIB1;2;1.2;11.7;2.1;11.55;5.25;2.4;12.15;1.2;0.9;12.9;11.25;9.3;12.75;FLA0;FIB1
TB;FD_FLA0FIB1;3;3;13.95;0.75;12.9;1.95;1.65;12;3.3;7.95;5.4;13.5;9.3;14.1;FLA0;FIB1
TB;FD_FLA0FIB2;1;0.75;13.8;0.45;12.15;2.4;2.55;12.15;2.7;12.9;2.4;1.5;0.6;14.7;FLA0;FIB2
TB;FD_FLA0FIB2;2;4.05;13.8;1.05;12.75;1.5;0.75;13.2;0.75;10.5;2.55;13.2;7.35;14.55;FLA0;FIB2
TB;FD_FLA0FIB2;3;2.4;13.05;0.6;9.9;1.8;0.75;13.5;1.5;8.7;1.5;14.25;0.45;14.55;FLA0;FIB2
TB;FD_FLA1FIB0;1;3.6;0.75;13.8;1.05;1.05;4.8;0.3;13.2;11.25;2.85;1.05;3.9;3.45;FLA1;FIB0
TB;FD_FLA1FIB0;2;0.75;0.45;13.8;2.1;0.6;0.9;3.45;14.1;4.05;10.05;1.05;9.3;2.85;FLA1;FIB0
TB;FD_FLA1FIB0;3;0.45;0.75;13.95;0.6;0.9;7.35;1.35;10.05;11.85;3.75;9.15;4.95;3.3;FLA1;FIB0
TB;FD_FLA1FIB1;1;0.9;1.2;13.65;1.05;1.05;6.6;0.3;10.95;4.5;7.65;0.6;2.1;2.85;FLA1;FIB1
TB;FD_FLA1FIB1;2;0.75;1.5;14.1;1.2;4.05;1.2;1.65;9.75;10.2;3.15;4.5;3.6;4.8;FLA1;FIB1
TB;FD_FLA1FIB1;3;3;1.65;12.3;0.9;0.9;5.25;1.05;13.65;10.5;9;1.2;12.45;0.9;FLA1;FIB1
TB;FD_FLA1FIB2;1;5.4;12.45;1.05;11.4;0.45;2.7;9.3;3.6;5.25;7.65;0.9;10.35;4.05;FLA1;FIB2
TB;FD_FLA1FIB2;2;2.85;0.9;6.75;0.75;0.6;4.2;9;4.95;5.7;9.15;1.8;10.05;2.7;FLA1;FIB2
TB;FD_FLA1FIB2;3;0.9;3;5.55;1.2;1.2;3.6;1.8;10.8;3.3;10.95;1.05;10.65;5.85;FLA1;FIB2
TB;FD_FLA2FIB0;1;0.15;0.6;13.35;1.05;1.05;5.25;1.35;10.05;6.45;10.35;3.6;7.8;1.8;FLA2;FIB0
TB;FD_FLA2FIB0;2;1.5;0.3;13.8;0.45;0.45;4.65;0.3;9.6;11.55;0.9;14.1;2.55;0.9;FLA2;FIB0
TB;FD_FLA2FIB0;3;0.45;1.65;13.5;0.75;0.75;6.6;0.9;14.55;4.95;8.25;1.95;10.35;1.35;FLA2;FIB0
TB;FD_FLA2FIB1;1;0.3;1.5;13.05;1.05;0.6;3.9;1.65;11.4;10.65;3.9;0.6;6.3;3;FLA2;FIB1
TB;FD_FLA2FIB1;2;3;0.75;10.95;0.6;0.9;0.45;0.6;14.4;2.25;13.35;1.05;10.95;0.6;FLA2;FIB1
TB;FD_FLA2FIB1;3;0.6;1.35;12;1.8;1.8;6;2.4;7.8;3.9;5.4;0.45;2.25;1.35;FLA2;FIB1
TB;FD_FLA2FIB2;1;4.05;1.8;11.25;0.6;0.45;3;0.6;11.55;4.65;8.85;0.75;8.7;7.65;FLA2;FIB2
TB;FD_FLA2FIB2;2;2.85;0.9;13.95;1.05;1.35;4.2;0.75;10.5;4.2;7.05;0.6;1.2;8.4;FLA2;FIB2
TB;FD_FLA2FIB2;3;0.75;1.05;8.1;1.05;0.9;0.15;5.25;7.05;3;10.2;0.75;10.35;5.1;FLA2;FIB2
TL;FD_FLA0FIB0;1;12.15;9.45;6.3;2.7;1.2;12.15;9.9;4.2;3.3;6.6;5.55;7.95;1.65;FLA0;FIB0
TL;FD_FLA0FIB0;2;12;12.15;2.55;5.25;3.6;12.75;11.7;3.45;1.05;6.9;10.2;6.3;1.65;FLA0;FIB0
TL;FD_FLA0FIB0;3;11.85;10.05;5.1;3.75;8.25;9;11.4;3.9;6.45;6.45;9.75;8.85;2.25;FLA0;FIB0
TL;FD_FLA0FIB1;1;10.65;11.1;4.05;4.8;0.9;9;11.1;2.4;7.2;5.85;3;8.85;7.5;FLA0;FIB1
TL;FD_FLA0FIB1;2;10.65;9.3;3.3;7.35;1.5;11.25;9.45;3.3;6.15;8.7;2.25;9.45;8.1;FLA0;FIB1
TL;FD_FLA0FIB1;3;11.25;11.25;3.9;2.4;5.7;11.85;10.2;4.35;1.95;6.75;5.4;8.25;4.8;FLA0;FIB1
TL;FD_FLA0FIB2;1;11.4;11.4;5.25;6.15;1.5;11.4;11.55;4.65;4.8;6.75;6;5.25;7.95;FLA0;FIB2
TL;FD_FLA0FIB2;2;9;11.25;9.75;0.6;4.95;11.4;11.55;7.65;3.3;7.65;6.6;8.1;10.05;FLA0;FIB2
TL;FD_FLA0FIB2;3;11.85;11.4;4.95;4.5;2.25;11.7;11.1;3.6;4.05;8.25;0.9;6.75;8.4;FLA0;FIB2
TL;FD_FLA1FIB0;1;7.2;9.45;11.85;0.75;1.8;5.85;9.45;11.1;6.15;4.5;1.35;1.2;1.2;FLA1;FIB0
TL;FD_FLA1FIB0;2;6;9.3;11.25;0.9;0.9;2.7;10.95;10.05;4.35;3.45;1.05;5.55;1.35;FLA1;FIB0
TL;FD_FLA1FIB0;3;5.4;10.5;11.55;0.75;1.95;9.15;9.75;10.2;3.3;8.7;1.2;1.65;1.5;FLA1;FIB0
TL;FD_FLA1FIB1;1;7.8;10.5;10.5;0.6;5.1;6.15;10.95;10.95;1.05;4.05;0.3;1.05;1.2;FLA1;FIB1
TL;FD_FLA1FIB1;2;11.7;10.65;8.85;5.25;3.9;10.95;10.2;5.85;6.45;4.8;7.2;2.7;2.4;FLA1;FIB1
TL;FD_FLA1FIB1;3;8.25;10.8;7.8;0.6;7.2;10.8;8.55;6;0.9;7.65;7.35;3.6;3.45;FLA1;FIB1
TL;FD_FLA1FIB2;1;11.25;9.15;2.4;7.05;4.8;9.45;9.45;2.25;3.3;7.05;4.95;1.05;3.45;FLA1;FIB2
TL;FD_FLA1FIB2;2;8.85;8.7;12.6;1.05;3.45;7.65;11.25;7.95;0.75;8.25;0.75;1.35;11.85;FLA1;FIB2
TL;FD_FLA1FIB2;3;6.75;10.5;7.05;0.6;0.45;10.5;8.85;7.5;0.45;5.85;5.7;3.75;10.35;FLA1;FIB2
TL;FD_FLA2FIB0;1;4.05;9.75;11.55;0.75;4.5;5.1;9.45;10.65;2.4;10.5;1.35;4.2;1.2;FLA2;FIB0
TL;FD_FLA2FIB0;2;4.2;9.6;11.7;1.05;2.4;6.9;9.3;10.8;2.7;10.95;1.5;3.3;1.35;FLA2;FIB0
TL;FD_FLA2FIB0;3;10.65;10.8;8.85;0;4.95;9.15;11.25;6;1.35;9;6;3.75;0.6;FLA2;FIB0
TL;FD_FLA2FIB1;1;7.05;8.25;10.8;0.6;3.3;6.3;9.15;11.55;2.7;4.8;1.35;5.55;1.95;FLA2;FIB1
TL;FD_FLA2FIB1;2;6.15;8.55;11.1;1.5;1.35;4.95;7.2;10.65;1.5;7.95;0.45;1.65;1.5;FLA2;FIB1
TL;FD_FLA2FIB1;3;10.5;8.4;6.6;1.65;3.75;7.05;10.5;6.75;2.85;5.55;0.9;8.25;3.45;FLA2;FIB1
TL;FD_FLA2FIB2;1;10.2;11.85;6.45;5.7;0.9;10.8;9.75;3.75;7.65;4.2;6.15;5.1;7.5;FLA2;FIB2
TL;FD_FLA2FIB2;2;10.95;11.1;7.65;0.6;6.6;10.95;10.35;7.05;1.05;7.95;1.8;2.55;2.55;FLA2;FIB2
TL;FD_FLA2FIB2;3;9.9;11.1;5.7;6.15;1.35;8.4;10.05;6.6;1.05;8.4;3.45;8.85;8.25;FLA2;FIB2
ULJ;FD_FLA0FIB0;1;13.8;5.1;7.5;0.9;0.75;13.35;11.25;1.35;13.35;2.1;14.7;0.6;0.3;FLA0;FIB0
ULJ;FD_FLA0FIB0;2;13.2;2.4;11.7;1.2;4.8;13.2;11.4;7.8;11.7;12.3;13.35;10.2;0.45;FLA0;FIB0
ULJ;FD_FLA0FIB0;3;12.45;12.45;1.65;3;3.15;13.2;13.5;0.6;3.9;11.7;0.9;0.6;0.45;FLA0;FIB0
ULJ;FD_FLA0FIB1;1;1.35;11.55;0.9;13.65;13.8;11.7;11.7;0.75;12.9;1.95;13.5;13.65;11.85;FLA0;FIB1
ULJ;FD_FLA0FIB1;2;3.6;13.2;0.6;13.2;13.5;4.8;13.5;0.9;11.1;8.7;13.8;13.8;12.6;FLA0;FIB1
ULJ;FD_FLA0FIB1;3;3.3;9.6;3.75;13.95;14.55;1.8;12.75;1.2;13.05;1.05;14.7;10.35;14.4;FLA0;FIB1
ULJ;FD_FLA0FIB2;1;5.7;9.75;0.9;14.4;11.4;1.95;10.65;0.9;2.55;11.4;1.35;10.5;13.5;FLA0;FIB2
ULJ;FD_FLA0FIB2;2;11.1;4.2;0.6;14.55;14.4;12.9;2.85;0.6;12.9;2.1;14.1;11.25;12.45;FLA0;FIB2
ULJ;FD_FLA0FIB2;3;13.05;1.65;1.05;13.2;12.75;12.3;4.05;0.9;12.9;1.35;13.35;4.2;11.85;FLA0;FIB2
ULJ;FD_FLA1FIB0;1;4.65;10.95;12.6;0.75;0.75;11.85;7.5;7.5;12.45;11.55;4.65;10.8;0.6;FLA1;FIB0
ULJ;FD_FLA1FIB0;2;13.05;2.4;1.5;1.5;1.35;12.15;13.95;0.9;1.2;13.8;14.1;10.65;0.75;FLA1;FIB0
ULJ;FD_FLA1FIB0;3;0.75;5.7;13.95;0.9;0.9;1.05;9.3;11.1;8.4;11.1;2.25;1.8;0.45;FLA1;FIB0
ULJ;FD_FLA1FIB1;1;10.5;8.55;12.3;1.8;1.8;11.55;11.55;12.3;14.1;4.05;13.95;11.85;7.95;FLA1;FIB1
ULJ;FD_FLA1FIB1;2;12.75;2.25;3.45;11.25;3.15;11.85;13.8;9;4.35;12.75;7.8;2.1;1.95;FLA1;FIB1
ULJ;FD_FLA1FIB1;3;3.15;12.3;12.15;3;1.05;3.15;12.3;13.05;13.2;7.2;5.1;11.7;3.15;FLA1;FIB1
ULJ;FD_FLA1FIB2;1;11.85;2.85;12.3;1.95;1.95;9.6;2.85;13.05;12.45;1.35;12.15;13.2;12.45;FLA1;FIB2
ULJ;FD_FLA1FIB2;2;1.95;8.4;14.4;3;1.5;8.4;11.1;11.85;10.65;1.65;13.5;12.75;13.2;FLA1;FIB2
ULJ;FD_FLA1FIB2;3;10.95;1.95;14.25;1.65;1.95;9.75;3.75;13.05;13.2;1.95;13.95;6.3;13.2;FLA1;FIB2
ULJ;FD_FLA2FIB0;1;2.4;2.85;14.4;1.2;0.75;11.25;2.25;8.4;13.5;1.5;13.65;0.75;0.6;FLA2;FIB0
ULJ;FD_FLA2FIB0;2;3.3;10.5;11.7;0.9;0.9;4.8;11.4;13.95;11.55;11.4;2.4;2.85;0.75;FLA2;FIB0
ULJ;FD_FLA2FIB0;3;2.85;10.95;12.3;0.75;0.75;9.6;12.75;11.4;13.65;1.8;14.1;2.7;0.3;FLA2;FIB0
ULJ;FD_FLA2FIB1;1;8.85;0.9;13.65;1.05;1.05;8.85;1.05;13.8;12.45;2.7;13.2;7.8;5.1;FLA2;FIB1
ULJ;FD_FLA2FIB1;2;10.8;11.1;11.25;0.9;0.9;12.9;7.2;4.05;12.45;3.9;12.6;7.35;3.45;FLA2;FIB1
ULJ;FD_FLA2FIB1;3;7.8;2.55;14.1;5.1;1.8;12;7.65;13.5;11.1;11.7;2.4;11.25;2.1;FLA2;FIB1
ULJ;FD_FLA2FIB2;1;1.35;11.25;13.5;5.55;2.25;7.8;12;14.1;4.5;11.4;3.3;13.8;14.55;FLA2;FIB2
ULJ;FD_FLA2FIB2;2;1.05;4.2;14.25;3.45;8.7;0.75;3;10.5;12.75;1.35;1.95;9.15;14.85;FLA2;FIB2
ULJ;FD_FLA2FIB2;3;1.35;10.8;14.25;1.5;3.75;4.65;8.85;13.8;5.7;11.55;2.25;3.3;13.95;FLA2;FIB2
